Panstwo,WSK_Placa,GNP,Inflacja,Zadluzenie,Grupa
Algeria             ,11.8,2.9,11.9,19.7,A
Australia           ,2,19.5,2.6,4.3,A
Austria             ,1.8,19.8,1.9,3.2,A
Belgium             ,2.8,20.3,3,10.2,A
Brazil              ,11.2,8.4,11.1,16.8,A
Britain             ,3.4,23.1,4,1.9,A
China               ,7.8,5.6,8,12.7,A
Czechy      ,7.8,13.2,5.9,7,A
Dania             ,3.1,22.1,2.5,2.3,A
Egipt               ,15.4,3.4,16.5,22.2,A
Etiopia            ,15.6,0.9,18.9,20.1,A
Finlandia             ,3.1,16.7,3.6,3.5,A
Francja              ,1.3,20.7,1.4,2.9,A
Grecja              ,8.9,13.4,10.2,9.8,A
Haiti               ,18.4,1.2,20.2,23.1,A
Hiszpania               ,6.9,16.7,6.8,3,A
Holandia         ,2,22.6,3.7,3,B
Indie               ,11.4,5.6,12.2,18.9,B
Indonezja           ,7.4,15.6,6.1,11.1,B
Irlandia             ,6.7,16.7,6.7,4.5,B
Japonia               ,1.2,21.8,2,1,B
Kenia               ,15.6,2.1,15.7,23.4,B
Korea               ,5.8,17.1,6,8,B
Luksemburg           ,0.7,26.7,0.8,1.1,B
Malezja            ,8.8,11.2,8.2,13.4,B
Meksyk              ,7,10.2,6.7,12.6,B
Niemcy             ,1.5,24.3,1.2,2.1,B
Norwegia              ,2,19.6,2,3.1,B
Peru                ,13.2,4.5,13.4,25.4,B
Polska              ,6.9,11.9,6.9,6.9,B
Portugalia            ,7.8,12.2,9.1,5.9,B
RPA        ,10.8,4.6,12.9,14.3,B
Sri Lanka           ,12.3,3.4,12.4,17.6,B
Szwajcaria         ,0.9,24.2,1.9,2.9,B
Szwecja              ,2.1,21.6,1.7,3.6,B
Tailandia            ,7.9,12.1,7.1,6.9,B
Tajwan              ,3,13.2,3.3,8.8,B
USA                 ,1.2,20.8,1.4,3.4,B
Wegry,6.8,12.4,7.8,4.9,B
Wlochy,7.3,20.1,7.3,8.3,B
